Timestamp	SGP30_tVOC_ppb	SGP30_CO2eq_ppm	SGP30_H2_raw	SGP30_Ethanol_raw	SGP30_H2	SGP30_Ethanol	SGP40_SRAW_VOC	SGP41_SRAW_VOC	SGP41_SRAW_NOX	sgp40_voc_index	sgp41_voc_index	Temperature_C	Humidity_%	FS3000_Velocity_m/s
10/12/24 - 09:38:54	0	400	55188	30422	1,03E-36	2,92E-11	65530	28082	17742	0	0	12,5216	53,2723	0
10/12/24 - 09:38:55	0	400	55188	30422	1,03E-36	2,92E-11	24619	28272	18171	0	0	12,5349	53,1899	0
10/12/24 - 09:38:56	0	400	55188	30422	1,03E-36	2,92E-11	25879	28447	17968	0	0	12,591	53,228	0
10/12/24 - 09:38:58	0	400	55188	30422	1,03E-36	2,92E-11	26546	28572	17827	0	0	12,5776	53,1411	0
10/12/24 - 09:38:59	0	400	55188	30422	1,03E-36	2,92E-11	26995	28721	17705	0	0	12,6764	53,0907	0
10/12/24 - 09:39:00	0	400	55188	30422	1,03E-36	2,92E-11	27302	28836	17603	0	0	12,7031	53,1365	0
10/12/24 - 09:39:01	0	400	55188	30422	1,03E-36	2,92E-11	27567	28954	17512	0	0	12,6764	52,9763	0
10/12/24 - 09:39:02	0	401	55188	30422	1,03E-36	2,92E-11	27847	29063	17456	0	0	12,6043	52,9244	0
10/12/24 - 09:39:03	0	400	55188	30422	1,03E-36	2,92E-11	27918	29156	17371	0	0	12,7218	52,9061	0
10/12/24 - 09:39:04	0	400	55188	30422	1,03E-36	2,92E-11	28243	29250	17307	0	0	12,7779	52,871	0
10/12/24 - 09:39:05	0	402	55188	30422	1,03E-36	2,92E-11	28290	29327	17251	0	0	12,7352	52,7184	0
10/12/24 - 09:39:07	0	400	55188	30422	1,03E-36	2,92E-11	28547	29418	17197	0	0	12,818	52,7199	0
10/12/24 - 09:39:08	0	402	55188	30422	1,03E-36	2,92E-11	28595	29499	17155	0	0	12,818	52,6238	0
10/12/24 - 09:39:09	0	400	55188	30422	1,03E-36	2,92E-11	28810	29582	17113	0	0	12,7913	52,6101	0
10/12/24 - 09:39:10	0	403	55188	30422	1,03E-36	2,92E-11	28851	29653	17068	0	0	12,9168	52,5414	0
10/12/24 - 09:39:11	0	400	55188	30422	1,03E-36	2,92E-11	28926	29740	17045	0	0	12,9168	52,4575	0
10/12/24 - 09:39:12	0	400	55188	30422	1,03E-36	2,92E-11	29011	29792	17006	0	0	12,9168	52,4254	0
10/12/24 - 09:39:13	0	412	55188	30422	1,03E-36	2,92E-11	29259	29863	16966	0	0	12,9728	52,4315	0
10/12/24 - 09:39:14	0	404	55188	30422	1,03E-36	2,92E-11	29286	29922	16945	0	0	13,0289	52,3033	0
10/12/24 - 09:39:16	0	400	55188	30422	1,03E-36	2,92E-11	29355	29984	16917	0	0	12,9889	52,2438	0
10/12/24 - 09:39:17	0	400	55188	30422	1,03E-36	2,92E-11	29414	30036	16893	0	0	13,085	52,1294	0
10/12/24 - 09:39:18	0	400	55188	30422	1,03E-36	2,92E-11	29499	30103	16879	0	0	13,0449	52,0729	0
10/12/24 - 09:39:19	1	407	55188	30422	1,03E-36	2,92E-11	29567	30161	16850	0	0	13,101	52,0378	0
10/12/24 - 09:39:20	0	402	55188	30422	1,03E-36	2,92E-11	29646	30212	16822	0	0	13,0583	51,9585	0
10/12/24 - 09:39:21	0	400	55188	30422	1,03E-36	2,92E-11	29723	30267	16808	0	0	13,101	51,8776	0
10/12/24 - 09:39:22	2	406	55188	30422	1,03E-36	2,92E-11	29790	30308	16796	0	0	13,1144	51,7952	0
10/12/24 - 09:39:23	0	410	55188	30422	1,03E-36	2,92E-11	29863	30356	16784	0	0	13,1571	51,7067	0
10/12/24 - 09:39:25	0	403	55188	30422	1,03E-36	2,92E-11	29943	30423	16777	0	0	13,1838	51,667	0
10/12/24 - 09:39:26	0	400	55188	30422	1,03E-36	2,92E-11	30014	30456	16747	0	0	13,2132	51,6808	0
10/12/24 - 09:39:27	3	413	55188	30422	1,03E-36	2,92E-11	30067	30510	16737	0	0	13,2265	51,6304	0
10/12/24 - 09:39:28	1	413	55188	30422	1,03E-36	2,92E-11	30138	30556	16727	0	0	13,2692	51,4977	0
10/12/24 - 09:39:29	0	406	55188	30422	1,03E-36	2,92E-11	30187	30594	16713	0	0	13,2826	51,5099	0
10/12/24 - 09:39:30	0	400	55188	30422	1,03E-36	2,92E-11	30239	30635	16701	0	0	13,3413	51,4427	0
10/12/24 - 09:39:31	0	401	55188	30422	1,03E-36	2,92E-11	30290	30679	16695	0	0	13,328	51,368	0
10/12/24 - 09:39:32	0	403	55188	30422	1,03E-36	2,92E-11	30359	30720	16692	0	0	13,3841	51,2779	0
10/12/24 - 09:39:34	0	402	55188	30422	1,03E-36	2,92E-11	30422	30744	16677	0	0	13,3547	51,2535	0
10/12/24 - 09:39:35	1	400	55188	30422	1,03E-36	2,92E-11	30471	30794	16672	0	0	13,4268	51,1986	0
10/12/24 - 09:39:36	0	404	55188	30422	1,03E-36	2,92E-11	30515	30835	16662	0	0	13,4401	51,0948	0
10/12/24 - 09:39:37	1	413	55188	30422	1,03E-36	2,92E-11	30578	30866	16661	0	0	13,4535	50,9789	0
10/12/24 - 09:39:38	0	401	55188	30422	1,03E-36	2,92E-11	30623	30900	16655	0	0	13,4829	51,0582	0
10/12/24 - 09:39:39	0	401	55188	30422	1,03E-36	2,92E-11	30662	30951	16638	0	0	13,4962	50,9209	0
10/12/24 - 09:39:40	4	404	55188	30422	1,03E-36	2,92E-11	30715	30988	16640	0	0	13,5657	50,8782	0
10/12/24 - 09:39:41	0	400	55188	30422	1,03E-36	2,92E-11	30779	30995	16641	0	0	13,6084	50,8064	0
10/12/24 - 09:39:43	0	407	55188	30422	1,03E-36	2,92E-11	30822	31030	16629	0	0	13,5523	50,7057	0
10/12/24 - 09:39:44	0	400	55188	30422	1,03E-36	2,92E-11	30851	31067	16621	0	0	13,5657	50,6325	0
10/12/24 - 09:39:45	0	400	55188	30422	1,03E-36	2,92E-11	30890	31108	16622	0	0	13,595	50,6172	0
10/12/24 - 09:39:46	3	404	55188	30422	1,03E-36	2,92E-11	30923	31134	16618	1	1	13,6217	50,5989	0
10/12/24 - 09:39:47	0	400	55188	30422	1,03E-36	2,92E-11	30959	31159	16609	1	1	13,6778	50,5257	0
10/12/24 - 09:39:48	0	400	55188	30422	1,03E-36	2,92E-11	30994	31207	16620	1	1	13,6645	50,3975	0
10/12/24 - 09:39:49	0	400	55188	30422	1,03E-36	2,92E-11	31047	31225	16607	1	2	13,6938	50,367	0
10/12/24 - 09:39:50	0	408	55188	30422	1,03E-36	2,92E-11	31070	31273	16607	2	2	13,7633	50,3166	0
10/12/24 - 09:39:52	0	400	55188	30422	1,03E-36	2,92E-11	31119	31291	16596	3	3	13,7205	50,2098	0
10/12/24 - 09:39:53	2	401	55188	30422	1,03E-36	2,92E-11	31163	31315	16600	3	4	13,7766	50,1701	0
10/12/24 - 09:39:54	7	404	55188	30422	1,03E-36	2,92E-11	31194	31341	16603	4	5	13,7766	50,1244	0
10/12/24 - 09:39:55	2	400	55188	30422	1,03E-36	2,92E-11	31227	31363	16595	5	6	13,8487	50,0648	0
10/12/24 - 09:39:56	4	404	55188	30422	1,03E-36	2,92E-11	31266	31392	16595	5	7	13,8621	50,0084	0
10/12/24 - 09:39:57	0	401	55188	30422	1,03E-36	2,92E-11	31299	31415	16594	5	8	13,8754	49,9626	0
10/12/24 - 09:39:58	3	400	55188	30422	1,03E-36	2,92E-11	31327	31461	16586	6	9	13,9048	49,8985	0
10/12/24 - 09:39:59	0	407	55188	30422	1,03E-36	2,92E-11	31362	31468	16590	6	9	13,9048	49,7948	0
10/12/24 - 09:40:01	0	409	55188	30422	1,03E-36	2,92E-11	31387	31494	16585	6	10	13,9315	49,7169	0
10/12/24 - 09:40:02	1	404	55188	30422	1,03E-36	2,92E-11	31414	31516	16585	7	10	13,8888	49,6559	0
10/12/24 - 09:40:03	5	400	55188	30422	1,03E-36	2,92E-11	31451	31547	16575	7	11	13,9181	49,6147	0
10/12/24 - 09:40:04	0	406	55188	30422	1,03E-36	2,92E-11	31491	31573	16566	7	11	13,9635	49,5048	0
10/12/24 - 09:40:05	2	410	55188	30422	1,03E-36	2,92E-11	31518	31600	16576	7	12	14,0036	49,4957	0
10/12/24 - 09:40:06	0	402	55188	30422	1,03E-36	2,92E-11	31531	31616	16581	7	12	13,9902	49,3553	0
10/12/24 - 09:40:07	4	403	55188	30422	1,03E-36	2,92E-11	31550	31626	16567	7	12	14,0036	49,3584	0
10/12/24 - 09:40:08	0	402	55188	30422	1,03E-36	2,92E-11	31583	31656	16575	8	12	14,0196	49,2805	0
10/12/24 - 09:40:10	0	400	55188	30422	1,03E-36	2,92E-11	31635	31678	16574	8	13	14,033	49,2821	0
10/12/24 - 09:40:11	0	400	55188	30422	1,03E-36	2,92E-11	31666	31708	16561	8	13	14,0757	49,2409	0
10/12/24 - 09:40:12	5	408	55188	30422	1,03E-36	2,92E-11	31687	31723	16567	8	13	14,1318	49,189	0
10/12/24 - 09:40:13	5	408	55188	30422	1,03E-36	2,92E-11	31710	31744	16569	8	13	14,1184	49,0745	0
10/12/24 - 09:40:14	0	403	55188	30422	1,03E-36	2,92E-11	31743	31762	16561	8	13	14,1585	49,0562	0
10/12/24 - 09:40:15	3	411	55188	30422	1,03E-36	2,92E-11	31775	31772	16564	8	13	14,1318	49,0425	0
10/12/24 - 09:40:16	0	401	55188	30422	1,03E-36	2,92E-11	31798	31796	16566	8	13	14,1878	48,9433	0
10/12/24 - 09:40:17	0	403	55188	30422	1,03E-36	2,92E-11	31815	31824	16566	8	13	14,2306	48,9479	0
10/12/24 - 09:40:19	9	412	55188	30422	1,03E-36	2,92E-11	31842	31839	16566	8	14	14,2306	48,9372	0
10/12/24 - 09:40:20	1	403	55188	30422	1,03E-36	2,92E-11	31863	31845	16567	8	14	14,2866	48,9204	0
10/12/24 - 09:40:21	2	416	55188	30422	1,03E-36	2,92E-11	31883	31880	16562	8	14	14,2573	48,8136	0
10/12/24 - 09:40:22	0	401	55188	30422	1,03E-36	2,92E-11	31918	31893	16570	8	14	14,2573	48,8136	0
10/12/24 - 09:40:23	0	407	55188	30422	1,03E-36	2,92E-11	31951	31917	16563	8	14	14,2866	48,7144	0
10/12/24 - 09:40:24	3	402	55188	30422	1,03E-36	2,92E-11	31994	31924	16561	8	14	14,3294	48,719	0
10/12/24 - 09:40:25	0	410	55188	30422	1,03E-36	2,92E-11	32011	31946	16559	8	14	14,3133	48,6488	0
10/12/24 - 09:40:26	3	405	55188	30422	1,03E-36	2,92E-11	32051	31955	16563	8	14	14,3694	48,6183	0
10/12/24 - 09:40:28	1	402	55188	30422	1,03E-36	2,92E-11	32074	31988	16557	8	14	14,3561	48,4932	0
10/12/24 - 09:40:29	0	400	55188	30422	1,03E-36	2,92E-11	32091	31998	16559	8	14	14,3854	48,5435	0
10/12/24 - 09:40:30	4	413	55188	30422	1,03E-36	2,92E-11	32106	32020	16565	8	14	14,4255	48,4306	0
10/12/24 - 09:40:31	0	414	55188	30422	1,03E-36	2,92E-11	32131	32034	16564	8	14	14,4255	48,4077	0
10/12/24 - 09:40:32	2	409	55188	30422	1,03E-36	2,92E-11	32151	32041	16557	8	14	14,4549	48,4352	0
10/12/24 - 09:40:33	1	403	55188	30422	1,03E-36	2,92E-11	32166	32061	16554	8	14	14,4549	48,2841	0
10/12/24 - 09:40:34	0	400	55188	30422	1,03E-36	2,92E-11	32187	32070	16557	8	14	14,4976	48,3116	0
10/12/24 - 09:40:35	2	403	55188	30422	1,03E-36	2,92E-11	32198	32096	16563	8	14	14,5109	48,3024	0
10/12/24 - 09:40:37	0	406	55188	30422	1,03E-36	2,92E-11	32203	32116	16567	8	14	14,4816	48,1407	0
10/12/24 - 09:40:38	0	400	55188	30422	1,03E-36	2,92E-11	32215	32118	16563	8	15	14,4976	48,1285	0
10/12/24 - 09:40:39	8	411	55188	30422	1,03E-36	2,92E-11	32234	32128	16561	8	15	14,5697	48,1498	0
10/12/24 - 09:40:40	7	416	55188	30422	1,03E-36	2,92E-11	32267	32131	16560	8	15	14,543	48,0873	0
10/12/24 - 09:40:41	2	406	55188	30422	1,03E-36	2,92E-11	32278	32160	16566	8	15	14,5563	48,0186	0
10/12/24 - 09:40:42	8	414	55188	30422	1,03E-36	2,92E-11	32299	32163	16555	8	15	14,5563	47,9637	0
10/12/24 - 09:40:43	0	400	55188	30422	1,03E-36	2,92E-11	32331	32187	16562	8	15	14,6258	47,8904	0
